							Insulin=0.01nM	(Dataset 1 of 3)							Insulin=1nM	(Dataset 1 of 3)							Insulin=100nM	(Dataset 1 of 3)							Insulin=0.01nM	(Dataset 2 of 3)							Insulin=1nM	(Dataset 2 of 3)							Insulin=100nM	(Dataset 2 of 3)							Insulin=0.01nM	(Dataset 3 of 3)							Insulin=1nM	(Dataset 3 of 3)							Insulin=100nM	(Dataset 3 of 3)							
130	cis-Aconitate	cis-Aconitate	C00417				0.019	0.013	0.015	0.011	0.016	0.015	0.017	0.024	0.018	0.018	0.014	0.015	0.015	0.022	0.027	0.034	0.022	0.015	0.014	0.0068	0.019	0.025	0.027	0.034	0.027	0.033	0.031	0.024	0.023	0.028	0.029	0.029	0.018	0.021	0.023	N.D.	0.03	0.03	0.027	0.037	0.022	0.022	N.D.	0.023	0.027	0.018	0.032	0.043	0.019	0.016	0.014	0.014	0.015	0.012	0.016	0.019	0.015	0.022	0.023	0.018	0.025	0.03	0.028	0.038	0.016	0.018	0.019	0.019	0.026	0.029	0.031	0.051	0.862856062
131	Dihydrouracil	"5,6-Dihydrouracil"	C00429				112	106	114	118	131	121	106	144	132	142	145	150	142	173	168	200	175	211	154	201	202	195	157	206	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	177	168	189	206	207	211	207	226	200	215	251	165	141	180	190	172	166	174	179	195	178	176	187	193	0.384978226
132	5-Aminolevulinate	5-Aminolevulinate	C00430				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.058	N.D.	N.D.	N.D.	N.D.	0.048	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
133	5-Aminovalerate	5-Aminopentanoate	C00431				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.13	N.D.	0.18	N.D.	N.D.	N.D.	0.13	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.076	N.D.	N.D.	N.D.	0.25	N.D.	0.13	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
134	dCTP	dCTP	C00458				0.068	0.096	0.087	0.062	0.071	0.082	0.11	0.07	0.11	0.055	0.077	0.076	0.088	0.095	0.078	0.052	0.11	0.044	0.12	0.083	0.065	0.074	0.13	0.05	0.096	0.11	0.11	0.1	0.08	0.11	0.073	0.066	0.084	0.088	0.095	0.073	0.083	0.075	0.073	0.093	0.065	0.096	0.089	0.096	0.13	0.12	0.061	0.059	0.093	0.076	0.071	0.074	0.08	0.064	0.092	0.058	0.087	0.057	0.049	0.065	0.081	0.068	0.059	0.056	0.052	0.068	0.06	0.079	0.071	0.073	0.072	0.059	-0.525230911
135	dTTP	dTTP	C00459				0.027	0.034	0.045	0.02	0.031	0.043	0.035	0.026	0.042	0.026	0.036	0.023	0.042	0.029	0.035	0.029	N.D.	N.D.	0.053	0.033	N.D.	0.021	0.044	0.023	0.038	0.048	0.042	0.037	0.032	0.024	0.034	0.047	0.038	0.038	0.044	0.04	0.05	0.04	0.031	0.071	0.032	0.047	0.039	0.043	0.036	0.047	0.039	0.038	0.026	0.028	0.027	0.027	0.019	0.018	0.03	0.029	0.023	N.D.	0.024	0.026	N.D.	0.023	N.D.	0.032	0.03	0.029	0.029	0.026	0.018	N.D.	0.032	0.026	0.543392179
136	Cytidine	Cytidine	C00475				0.045	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.033	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.051	0.029	0.024	0.022	0.022	0.017	0.022	0.028	0.032	0.016	0.025	0.018	0.019	0.018	0.017	0.02	0.019	0.013	0.029	0.017	0.023	0.017	0.018	0.013	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.407400655
137	Tyramine	Tyramine	C00483				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
138	Glutarate	Glutarate	C00489				0.024	N.D.	N.D.	N.D.	N.D.	0.019	0.03	0.032	N.D.	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.012	N.D.	0.067	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.029	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	N.D.	N.D.	0.027	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	0.029	0.02	0.04	0.019	N.D.	N.D.	0.019	N.D.	N.D.	0.018	N.D.	-0.17627338
139	Itaconate	Itaconate	C00490				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.025	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
140	Shikimate	Shikimate	C00493				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.039	0.059	0.046	0.045	0.043	0.058	0.056	N.D.	N.D.	0.048	0.047	0.064	0.057	0.06	N.D.	0.046	0.072	N.D.	N.D.	N.D.	N.D.	0.053	0.057	0.056	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
141	Cysteate	L-Cysteate	C00506				0.023	0.023	0.026	0.021	0.029	0.026	0.024	0.029	0.043	0.027	0.027	N.D.	0.024	0.022	0.024	0.032	0.025	0.027	0.018	0.017	0.028	0.023	0.025	0.031	0.027	0.023	0.023	0.013	0.011	0.022	0.019	0.029	0.022	0.015	0.014	0.013	0.021	0.017	0.021	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.023	0.022	0.023	0.022	0.021	0.023	0.02	0.025	0.023	0.026	0.024	0.025	0.018	N.D.	N.D.	0.024	N.D.	0.027	0.028	0.018	N.D.	0.021	0.019	0.017	0.023	0.027	0.023	0.431658108
142	Pyridoxamine	Pyridoxamine	C00534				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
143	Cyclohexylamine	Cyclohexylamine	C00571				N.D.	0.042	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.025	N.D.	0.029	0.024	N.D.	0.041	N.D.	N.D.	0.022	0.028	0.017	0.036	0.032	0.053	0.029	0.023	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.038	N.D.	N.D.	0.021	N.D.	0.0096	0.018	0.028	0.02	N.D.	0.031	0.025	0.027	0.024	0.015	0.023	0.015	0.032	0.01	0.01	N.D.	N.D.	N.D.	0.011	N.D.	0.015	0.022	N.D.	N.D.	0.012	0.885737755
144	Guanidinoacetate	Guanidinoacetate	C00581				N.D.	0.16	0.14	0.11	0.11	0.13	0.11	0.12	0.1	0.12	0.1	0.11	0.12	0.13	0.13	0.11	0.15	0.087	0.13	0.15	0.17	0.13	0.14	0.11	0.14	0.13	0.16	0.18	0.14	0.16	0.15	0.17	0.14	0.12	0.14	0.13	0.14	0.12	0.15	0.15	0.13	0.13	0.15	0.11	0.14	0.14	0.16	0.17	0.12	0.13	0.11	0.13	0.18	0.14	0.11	0.13	0.17	0.13	0.12	0.16	0.12	0.12	0.17	0.19	0.13	0.15	0.16	0.12	0.17	0.16	0.16	0.19	0.513823886
145	Phosphorylcholine	Choline phosphate	C00588				9.4	13	15	16	13	15	17	16	11	13	15	15	13	15	16	17	12	13	15	15	14	15	16	16	14.5	15.6	21.3	20.9	16.7	19	17.6	19.1	12.9	14.3	17.2	18.9	15.2	15.7	18.8	17.7	13.4	13.8	15.7	17.7	14	15.2	17.1	17.2	13	16	16	19	15	17	18	17	13	15	18	19	16	18	19	20	14	17	18	20	17	18	20	21	-0.259983719
146	Cysteine sulfinate	3-Sulfino-L-alanine	C00606				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.034	0.045	N.D.	0.027	N.D.	N.D.	N.D.	N.D.	N.D.	0.048	0.04	0.044	0.047	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.047	N.D.	N.D.	N.D.
147	N1-Acetylspermidine	N1-Acetylspermidine	C00612				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.011	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
148	N-Acetylglutamate	N-Acetyl-L-glutamate	C00624				0.038	0.037	0.032	0.028	0.035	0.037	0.035	0.035	0.027	0.035	0.039	0.03	0.023	0.03	0.033	0.028	0.03	0.028	0.033	0.03	0.026	0.028	0.028	0.029	0.031	0.03	0.028	0.033	0.026	0.03	0.031	0.025	0.024	0.024	0.029	0.027	0.025	0.026	0.022	0.038	0.034	0.024	0.035	0.037	0.03	0.027	0.029	0.03	0.023	0.03	0.03	0.031	0.019	0.023	0.026	0.024	0.02	0.024	0.032	0.028	0.026	0.027	0.028	0.031	0.028	0.029	0.028	0.028	0.024	0.019	0.027	0.025	-0.337819743
149	Isobutyryl CoA	2-Methylpropanoyl-CoA	C00630				N.D.	0.0066	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.007	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
150	2PG+3PG	2-Phospho-D-glycerate	C00631	C00197	C00597		4.2	9.3	9.1	7.6	8.8	8.8	7.6	6.1	5.2	8.2	9.9	8.6	11.1	11.5	8.5	7.5	4.9	6.5	10.3	8.6	11.1	11.9	10.3	7	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	3.9	9.2	8.4	7.7	7.3	6.7	5.7	5.4	4.3	8.6	9.8	8.2	10	8.5	6.6	6.8	3.8	7.3	9.7	7.7	9.8	9.8	7.8	7.2	1.196641235
151	Indole-3-acetaldehyde	Indole-3-acetaldehyde	C00637				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.28	N.D.	N.D.	N.D.	N.D.	0.19	0.13	0.26	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
152	Pyridoxamine 5'-phosphate	Pyridoxamine phosphate	C00647				0.15	0.18	0.19	0.19	0.19	0.17	0.23	0.2	0.19	0.18	0.18	0.25	0.18	0.2	0.24	0.18	0.18	0.18	0.19	0.23	0.22	0.19	0.19	0.2	0.19	0.19	0.2	0.19	0.18	0.22	0.19	0.25	0.19	0.19	0.18	0.2	0.21	0.2	0.2	0.2	0.17	0.17	0.19	0.19	0.17	0.19	0.18	0.22	0.18	0.18	0.22	0.2	0.19	0.21	0.24	0.24	0.2	0.19	0.16	0.19	0.21	0.19	0.2	0.27	0.2	0.22	0.23	0.22	0.21	0.23	0.2	0.23	0.610681514
153	XMP	Xanthosine 5'-phosphate	C00655				N.D.	N.D.	N.D.	N.D.	N.D.	0.017	N.D.	0.017	N.D.	N.D.	N.D.	N.D.	0.014	N.D.	0.016	0.027	0.014	N.D.	0.015	N.D.	0.016	0.023	0.017	0.019	0.042	0.032	0.028	0.027	0.021	0.022	0.023	0.026	0.02	0.027	0.02	0.026	0.046	0.028	0.03	0.047	0.031	0.023	0.03	0.033	0.04	0.024	0.033	0.035	N.D.	0.012	N.D.	N.D.	N.D.	N.D.	N.D.	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	0.013	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.022	0.509518381
154	G3P	DL-Glyceraldehyde 3-phosphate	C00661	C00118			0.033	0.2	N.D.	N.D.	0.069	N.D.	N.D.	N.D.	N.D.	0.11	0.11	N.D.	N.D.	0.13	N.D.	0.077	N.D.	0.097	N.D.	0.068	0.033	0.16	N.D.	N.D.	0.14	N.D.	0.092	0.14	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.065	0.11	N.D.	N.D.	N.D.	N.D.	N.D.	0.072	0.17	N.D.	N.D.	0.083	N.D.	N.D.	0.027	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.057	N.D.	0.091	N.D.	N.D.	N.D.	0.048	N.D.	0.032	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	-0.242374045
155	"F2,6BP"	"D-Fructose 2,6-bisphosphate"	C00665				0.98 	0.67 	0.56 	0.91 	0.75 	1.11 	0.95 	0.92 	1.12 	0.86 	0.92 	1.66 	1.19 	1.67 	0.86 	1.36 	0.91 	0.49 	1.19 	1.46 	1.13 	1.83 	1.68 	1.19 	1.02 	0.52 	0.64 	0.80 	0.65 	0.96 	0.94 	0.93 	0.97 	0.82 	0.78 	1.44 	1.25 	2.00 	1.73 	1.44 	1.01 	1.12 	1.16 	1.89 	1.57 	1.68 	1.77 	1.54 	1.02 	0.72 	0.82 	0.82 	0.66 	1.25 	1.10 	0.83 	0.78 	0.82 	1.05 	1.44 	1.35 	1.63 	1.72 	1.24 	1.20 	0.94 	1.32 	1.74 	1.60 	1.74 	1.89 	1.35 	4.552010946
156	gamma-Glu-cys	gamma-L-Glutamyl-L-cysteine	C00669				N.D.	N.D.	N.D.	N.D.	N.D.	0.87	0.82	0.8	N.D.	0.53	N.D.	N.D.	N.D.	0.7	N.D.	1.3	N.D.	N.D.	N.D.	N.D.	0.66	0.69	N.D.	1.2	0.51	0.31	0.34	0.42	0.45	0.5	0.42	0.85	0.41	0.35	0.31	0.37	0.47	0.55	0.63	0.66	0.44	0.41	0.34	0.37	0.49	0.71	0.63	0.8	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.41	N.D.	N.D.	0.628335514
157	Glycerophosphorylcholine	sn-glycero-3-Phosphocholine	C00670				38	38	39	40	37	38	37	36	37	39	36	36	34	36	36	31	36	35	37	36	36	33	34	32	43.2	39.8	37.6	35.3	40.9	33.7	28.8	30.1	34.7	31.1	26.7	23.4	27.8	24.3	21.8	21.8	31	27.5	23.3	23.6	24	22.4	21.9	21	29	31	28	29	30	31	28	27	31	29	31	30	31	32	29	29	34	32	32	29	35	30	28	29	-0.511417619
158	Tropine	Tropine	C00729				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.008	0.0044	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.018	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
159	Tropinone	Tropinone	C00783				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
160	Creatinine	Creatinine	C00791				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	1.5	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	0.03	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
161	Saccharate	D-Glucarate	C00818				0.016	0.017	N.D.	0.012	N.D.	0.015	0.015	N.D.	0.011	0.013	N.D.	0.013	N.D.	0.0083	0.0093	N.D.	0.017	0.012	0.016	N.D.	0.012	0.01	N.D.	N.D.	0.034	0.036	0.041	N.D.	N.D.	N.D.	N.D.	N.D.	0.027	0.035	N.D.	N.D.	0.038	N.D.	N.D.	N.D.	N.D.	0.032	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.014	0.0089	0.019	0.018	0.012	0.014	0.011	0.013	N.D.	0.015	0.013	N.D.	0.012	N.D.	N.D.	0.012	0.014	N.D.	N.D.	0.008	0.011	N.D.	0.011	N.D.	-0.442201866
162	Pantothenate	Pantothenate	C00864				0.049	0.065	0.071	0.076	0.071	0.069	0.071	0.069	0.048	0.068	0.071	0.063	0.065	0.076	0.057	0.057	0.056	0.062	0.065	0.064	0.06	0.066	0.053	0.051	0.057	0.057	0.062	0.06	0.084	0.079	0.063	0.051	0.052	0.057	0.069	0.063	0.068	0.068	0.054	0.052	0.047	0.059	0.065	0.067	0.07	0.06	0.049	0.038	0.039	0.045	0.051	0.062	0.062	0.067	0.059	0.053	0.043	0.053	0.055	0.058	0.046	0.06	0.051	0.048	0.047	0.053	0.049	0.07	0.059	0.054	0.047	0.046	-0.838509345
163	2'-Deoxycytidine	Deoxycytidine	C00881				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.024	0.016	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.011	0.0093	N.D.	N.D.	0.013	N.D.	0.019	0.0078	0.0059	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
164	alpha-Aminoadipate	L-2-Aminoadipate	C00956				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.019	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
165	O-Phosphoserine	O-Phospho-L-serine	C01005				0.44	0.95	1.1	1.2	1.9	1.6	1.6	1.7	0.65	0.96	1.1	1	1.8	2.1	1.9	2.3	0.53	0.98	1	0.96	1.9	2.1	2	2	0.47	0.64	0.92	1.2	1.2	1.5	1.2	1.2	0.44	0.68	1	0.98	1.7	1.7	1.6	1.9	0.44	0.56	0.89	0.81	1.6	1.8	1.6	1.8	0.68	1.2	1.1	1.4	1.9	1.6	1.6	2	0.7	1.2	1.2	1.2	2	1.9	1.8	2.7	0.67	1.2	1.1	1.1	1.9	1.9	2	2.9	0.917125732
166	Hydroxyproline	cis-4-Hydroxy-L-proline	C01015				7.5	8.4	9.2	9.9	10	11	12	12	8.6	8.9	8.8	9.8	11	12	12	12	8.6	9.2	9	9.6	11	11	12	12	6.6	5.9	6.4	7.3	7.7	7.6	7.9	8.5	6.1	5.7	6.1	6.7	7.3	7.3	8.5	9	6.1	5.7	6.2	6.6	7.6	7.8	8.9	9.8	7.3	8	7.8	9	10	10	10	11	8	7.8	8.5	9	9.7	11	11	13	8.3	7.9	8.1	8.5	11	10	11	13	0.22107367
167	N8-Acetylspermidine	N8-Acetylspermidine	C01029				N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.0086	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	0.022	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
168	gamma-Guanidinobutyrate	4-Guanidinobutanoate	C01035				0.071	0.07	0.1	0.11	0.13	0.15	0.17	0.14	0.092	0.1	0.086	0.1	0.12	0.14	0.15	0.12	0.075	0.076	0.075	0.098	0.11	0.13	0.15	0.1	0.12	0.088	0.1	0.14	0.13	0.13	0.13	0.13	0.076	0.075	0.073	0.083	0.08	0.085	0.11	0.11	0.067	0.057	0.091	0.049	0.068	0.076	0.09	0.076	0.11	0.14	0.15	0.16	0.2	0.21	0.22	0.2	0.13	0.12	0.11	0.14	0.17	0.21	0.23	0.22	0.13	0.1	0.12	0.11	0.16	0.2	0.21	0.18	-0.482651469
